main_app-1  | 2026-07-15 09:33:22,981 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:33:22,981 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:33:21 EEST], next run at: 2026-07-15 12:33:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:36:53,603 - bot.handlers - INFO - Callback received - User: 1336308262, Data: main_preview
main_app-1  | 2026-07-15 09:36:55,427 - bot.handlers - INFO - Callback received - User: 1336308262, Data: preview_channel_@furryukrainecult
main_app-1  | 2026-07-15 09:36:55,429 - telegram.ext.Application - ERROR - No error handlers are registered, logging exception.
main_app-1  | Traceback (most recent call last):
main_app-1  |   File "/usr/local/lib/python3.12/site-packages/telegram/ext/_application.py", line 1311, in process_update
main_app-1  |     await coroutine
main_app-1  |   File "/usr/local/lib/python3.12/site-packages/telegram/ext/_handlers/basehandler.py", line 158, in handle_update
main_app-1  |     return await self.callback(update, context)
main_app-1  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
main_app-1  |   File "/app/bot/handlers.py", line 1787, in callback_query_handler
main_app-1  |     await handle_preview_channel_selection(query, user, channel_selection)
main_app-1  |   File "/app/bot/handlers.py", line 1302, in handle_preview_channel_selection
main_app-1  |     Database.update_user_session(user.id, BotStates.PREVIEW_MODE, {'selected_channel': channel_selection})
main_app-1  |                                           ^^^^^^^^^^^^^^^^^^^^^^
main_app-1  | AttributeError: type object 'BotStates' has no attribute 'PREVIEW_MODE'
main_app-1  | 2026-07-15 09:36:56,605 - bot.handlers - INFO - Callback received - User: 1336308262, Data: back_to_main
main_app-1  | 2026-07-15 09:36:56,656 - bot.handlers - INFO - Main menu successfully displayed for user 1336308262
main_app-1  | 2026-07-15 09:38:07,284 - bot.handlers - INFO - Callback received - User: 1336308262, Data: main_calendar
main_app-1  | 2026-07-15 09:38:08,565 - bot.handlers - INFO - Callback received - User: 1336308262, Data: cal_day_2026-07-15
main_app-1  | 2026-07-15 09:38:11,968 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:43:11 EEST)" (scheduled at 2026-07-15 12:38:11.963649+03:00)
main_app-1  | 2026-07-15 09:38:11,968 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:38:11,970 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:38:11,971 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:38:11,971 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:38:11,971 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:38:21.971109+03:00
main_app-1  | 2026-07-15 09:38:11,973 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:38:21.971109+03:00
main_app-1  | 2026-07-15 09:38:12,089 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:38:12,089 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:43:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:38:15,040 - bot.handlers - INFO - Callback received - User: 1336308262, Data: cal_nav_2026_7
main_app-1  | 2026-07-15 09:38:21,978 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:38:21,978 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:38:21 EEST], next run at: 2026-07-15 12:38:21 EEST)" (scheduled at 2026-07-15 12:38:21.971109+03:00)
main_app-1  | 2026-07-15 09:38:22,980 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:38:22,980 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:38:21 EEST], next run at: 2026-07-15 12:38:21 EEST)" executed successfully
